,Unnamed: 0,swiss
499,499,ich han min hauptwohnsitz imene andere kanton chan ich dkopie vo de stueuererklaerig au mit efiling iireiche
500,500,was isch obeam
501,501,wo bechumi obeam
502,502,wie funktioniert obeam
503,503,wie funktioniert das genau mitem datentransfer zwuesche obeam und em etaxes client
504,504,wo meld ich mich bi technische problem mit obeam
505,505,was sind stammdate
506,506,wie importier ich en stueueruszug
507,507,lauft etaxes unternehmen auch auf linux
508,508,lauft etaxes unternehmen auch auf linux
509,509,die ikommens und vermoegensstueuere gelted nebed de stueuere juristische persone als hauptstueuere
510,510,graenzgaenger mit wohnsitz in oesterrich duetschland und arbeitsort im kanton st galle unterlieged fuer ihri iikuenft us unselbstaendiger erwerbstaetigkeit und ersatzkuenft eme stueuerabzug a de quelle
511,511,grenzgaenger mit wohnsitz im fuerstetum liechtestei unterlieged nur daenn de quellestueuer wenns imne oeffentlichrechtliche arbeitsverhaeltnis stoend
512,512,d tarifeinstufig erfolgt ufgrund zivilstand azahl vo de chind und de konfession und dient zur ermittlig vom awaendige stueuersatz us em jewilige tarifheft
513,513,abraechnigsformular print bi weniger als zehn quellestuerpflichtige quartalswiis endi maerz juni september und dezember und bi meh als zehn quellestueuerpflichtige monatlich
514,514,elm quellestueuer einheitlichs lohnmeldeverfahre zwingend monatlich
515,515,equellestueuer webzugang monatlich oder quartalswiis je nach azahl vo de quellestueuerpflichtige
516,516,d abraechnig isch amel bis zum fünfzehn vom folgemonat nach endi vo de abraechnigsperiode iizreiche
517,517,bitte beachte sie dass fuer d richtigkeit vo de ueber die kompariswebsite verbreitete informatione und asichte kei gewaehr gleistet wird fuer vorgnohmi dischpositione ufgrund vo beraechnige uf de vergliichwebsite wird jeglichi haftig sitens em kantonale stueueramt abglehnt
518,518,de kantonsrat beschliesst ueber d rechnig vom vergangene jahr jewiils i sinere junisession
519,519,d rechnig vom kanton stgalle bestaht useme bricht vo de regierig bilanz erfolgsraechnig und investitionsraechnig wiiter umfasst sie d geldflussraechnig de eigekapitalnachwiis de ahang sowie die vo de regier
520,520,da choend sie die aktuelli raechnig sowie d mediemitteilig dezue abelade mit eme klick glanget sie zudem auf das entsprechende kantonsratsgschaeft
521,521,mir fueehred alli eusi revisione mittels detaillierter prueefigsstrategie dure debii nutzed mir jewils au hilfsmittel wie aaleitige checklischte und strukturierti arbetspapier wo mir i euisem qualitaetsmanagement hinterleit haend wichtig sind eus bi eusne prueefige s wesentlichkeitskonzept sowie d prueefig uf basis vo stichprobe
522,522,mir unterziehnd d umsetzig vo eusere empfohlene massnahme vonere systematische nachkontrolle
523,523,i de untestaendige tabaell sind einigi zentrali kennzahle zum zuestand vom finanzhushalt vom kanton stgalle ufgfuehrt
524,524,wiiteri informatione zu de gmeind und bundesfinanze sowie zu statistische angabe vom kanton stgalle findet sie ueber nachfolgende links
525,525,fuer d stueuerig vom kantonale finanzhuushalt sind folgendi rechtsgrundlage zentral
526,526,kantonsverfassig
527,527,gsetz ueber referendum und initiative
528,528,staatsverwaltigsgsetz
529,529,finanzhushaltsverordnig
530,530,die langfristigi stueuerig vom kantonale finanzhuushalt basiert uf em finanzleitbild das umfasst strategischi ziel vo de usgabe und iinahmepolitik ziel vo de erhaltig vo de finanzielle handligsfaehigkeit sowie ziel vo de ufgabteilig zwuesche em kanton und de gmeind
531,531,s finanzleitbild wird dur d regierig periodisch aktualisiert
532,532,s rating vom standard  poors dient in erster linie vo de ischaetzig vo de kreditwuerdigkeit vom kanton und wird jaehrlich aktualisiert
533,533,swiss german
534,534,verkehr
535,535,strosseverkehr
536,536,fahrzueg iloese
537,537,welli dokumaent bruch ich zum mis fahrzueg izloese
538,538,fahrzueueg
539,539,wunschautonummer chaufe
540,540,schifffahrt
541,541,praktischi schiffsfuehrerprueefig
542,542,oeffentlichae verkehr
543,543,fahrplanprozess
544,544,infrastrukturprojekt oev
545,545,sie woend es motorfahrzueg oder en ahaenger iiloese
546,546,s strasseverchehrs und schifffahrtsamt
547,547,elektronische versicherigsnachwiis
548,548,plansch es fahrzueg usem usland in kanton stgalle zueberfueehre
549,549,cozweiabgabe
550,550,fuehreruuswis
551,551,neui fuehreruuswis im kreditkarteformat mit lasergravur
552,552,kontrollschilder
553,553,theorieprueefig
554,554,onlineadressaenderig
555,555,prueefigstermin
556,556,termin fahrzueuegprueefig
557,557,fahrzueuegtechnik
558,558,oeffentlichae verkehr
559,559,fahrplanverfahre
560,560,gueltigi fahrplan
561,561,fahrplanentwurf
562,562,hindernisfreie bushaltestelle
563,563,rolle vom aoev
564,564,sbahn
565,565,wiiterentwicklig sbahn
566,566,aktuelli busplanig
567,567,veloverkehr
568,568,rechtsabbiege bi rot
569,569,merkblatt lichtsignalage fuer fuessgaenger
570,570,merkblatt trendfahrzueueg
571,571,umklassierig bi teilstrasseplaen
572,572,muschterplan teilstrasseplaen
573,573,planig fuesswegnetz
574,574,planig velowegnetz
575,575,zaehlstelle veloverkehr
576,576,veloparkierig
577,577,sie waennd sich ueber die aktuelle baustelle a kantonsstrasse informiere
578,578,mit em halbtax zum halbe priis fahre
579,579,jetzt halbtax chaufe
580,580,halbtax
581,581,spartagscharte
582,582,generalabo
583,583,billet  agebot
584,584,sparagebote finde
585,585,usflugsabo
586,586,streckebillet schwiz
587,587,billet
588,588,sparagebote finde
589,589,tagescharte
590,590,streckebillet schwiz
591,591,gruppe und schuele
592,592,europa und interrail
593,593,gescht usem usland
594,594,alli billet
595,595,swisspass
596,596,velo  auto
597,597,velomitnahm und reservation
598,598,velopass
599,599,velo versende
600,600,velo parkiere
601,601,velo miete
602,602,auto parkiere
603,603,auto miete
604,604,ondemandservices  taxi
605,605,reservation  gepaeck
606,606,sitzplatzreservation
607,607,schliessfaecher und ufbewahrig
608,608,gpaeckufgab
609,609,fluggepaeck
610,610,shop  zuesatzagebotelink oeffnet i neue fenster
611,611,sbb shoplink oeffnet in neue fenster
612,612,gschenkidae
613,613,mondaineuhrelink oeffnet i noeiem fenster
614,614,gaeldwaechsellink oeffnet i noeiem faenschter
615,615,western union
616,616,reiseversicherige link oeffnet in neue fenster
617,617,coupons guetschii und gschaenkcharte
618,618,simcharte
619,619,freiziit  ferieaktivae menuepunkt freiziit  ferie schliessae
620,620,topabote
621,621,railaway hits
622,622,topevents
623,623,snownraillink oeffnet i noeiem fenster
624,624,europa park
625,625,schuel und grupperreise
626,626,zueg  schiff
627,627,erlaebnis
628,628,panoramazueg
629,629,zueg miete
630,630,schifffahrte
631,631,europa
632,632,flugzug
633,633,rund um die reis
634,634,laender und staedt
635,635,interrail
636,636,nachtzueg
637,637,zug und hotel
638,638,ferie schwiiz
639,639,panoramareise durd schwiiz
640,640,hotels und feriewohnige
641,641,staedt und regione i de schwiiz
642,642,usflueg schwiz
643,643,berge und natur
644,644,wellness
645,645,tierpark und zoo
646,646,wandere und bewegig
647,647,fun und action
648,648,besichtigung und uusstellig
649,649,events
650,650,konzaert und musical
651,651,messe
652,652,lauf und sport
653,653,kulinarik und volksfescht
654,654,eventextrazueg
655,655,reiseinformatione
656,656,bahnhoef
657,657,bahnhof finde
658,658,services am bahnhof
659,659,services am billetautomat
660,660,bahnverkehrsinfo
661,661,betriebslage und stoerige
662,662,verspaetigsbestaetigung
663,663,bahnsatzplaen
664,664,zuesatzzueg
665,665,fahrplanwaechsel
666,666,fahrplandate und pdf fahrplaen
667,667,apps
668,668,sbb mobile
669,669,sbb preview
670,670,sbb inklusive
671,671,services im zug
672,672,eusi zueg
673,673,komfort und klasse
674,674,sbb restaurant und bistro
675,675,mit rollstuehl reise
676,676,individuelle beduerfnis
677,677,alli reisetipps
678,678,barrierefrei reise
679,679,reise mit chind
680,680,reise im alter
681,681,reise mit velos
682,682,reise mit hunde
683,683,reise als gruppeschuel
684,684,hilfe  kontaktaktive navigationspfad
685,685,wie chumi am beschte dur de verkehr zu de arbeit
686,686,reiseuswiis fuer afghanischi gsuechstellendi
687,687,mit b oder c bewilligung
688,688,mit n oder fuswiis
689,689,gsuech vo reisedokumaent
690,690,pass uoder id bstelle
691,691,bsuechervisum
692,692,visa information
693,693,visa raechner
694,694,reisedokumaent
695,695,visum
696,696,vorussetzige zur einreis
697,697,ufenthaltsduur
698,698,ireiseverbotlandesverwiis
699,699,familienachzug  arbeite i de schwiiz
700,700,gastgeberi oder gastgaeber i de schwiiz
701,701,visa fuer persone oder waretransport i de schwiiz
702,702,welli reisedokumaent bruched schwiizer staatsaghoerigi zur iireis id schwiiz
703,703,reisepass oder identitaetskarte
704,704,fotokopie vom gueltige reisepass oder de identitaetscharte
705,705,es abgloffnigs reisedokument
706,706,es amtlichs dokument wo d identitaet undoder d staatsaghoerigkeit fueregoend zb fueehreruuswis
707,707,schwizerinne und schwizer hend es ihreisecht sie mueend ihri staatsaghoerigkeit bim graenzuebertritt bewiise oder glaubhaft mache dezue werded folgendi dokument empfohle
708,708,weli reisedokument bruched eueftabuergerinne und buerger zur iireis id schwiiz
709,709,jedi person benoetigt grundsaetzlich es gueltigs und vo de schwiiz anerkannts reisedokument je nach staatsaaghoerigkeit anerkennt d schwiiz fuer de grenzuebertritt au abglaufeni reisedokument
710,710,weli reisedokumaent bruched drittstaatsaghoerigi zur iireis id schwiiz
711,711,fuer en churzfristige ufenthalt ohni erwerbstaetigkeit zb tourismus oder bsuech
712,712,isch mis reisedokument anerkannt
713,713,bruch ich es visum
714,714,weles visum bruchi
715,715,es visum c wird fuer ufenthalt vo maximal neunzig taeg innerhalb vomene zitrum vo einhundertachtzig taeg usgstellt es isch fuer de gsamt schengenruum gueltig und wird au schengenvisum gnennt
716,716,touristischi zwaeck
717,717,en visum d wird fuer ufenthalt vo meh als neunzig taeg usgstellt da es sich um es visum fuer en langfristige ufenthalt i de schwiiz handlet wirds au als nationales visum bezeichnet
718,718,familienachzug
719,719,usbildig oder wiiterbildig
720,720,weli vertretig isch fuers visumgsuech zuestaendig
721,721,wenn nur en mitgliedstaat reiseziel isch isch s konsulat vo dem mitglidstaat fuer de visumatrag zuestaendig falls d reis verschiedeni destinatione umfasst isch s konsulat vom hauptreiseziel in de regel laengster ufenthalt zuestaendig
722,722,wo und wie beatrag ich es visum c fuer d schwiiz
723,723,aatraeg fuer visa c mueend online schriftlich per antragsformular oder direkt bi dere fuer ihre wohnort zuestaendige schwiizer vertretig iigreicht werde
724,724,aatraeg fuer visa c mueend online schriftlich per antragsformular oder direkt bi dere fuer ihre wohnort zuestaendige schwiizer vertretig iigreicht werde
725,725,de atrag chan sechs moenet vor de plante reis iigreicht werde idealerwiis wird er spoetischtens zwei moenet vor reiseatritt iigreicht
726,726,wo und wie beatrag ich es visum d fuer d schwiiz
727,727,s visum d muess schriftlich per antragsformular oder direkt bi dere fuer ihre wohnort zuestaendige schwizerische uslandvertretig gstellt werde
728,728,wie lang duuret s visumverfahre
729,729,benoet ich e reiseversicherig
730,730,fuer weli laender gilt mis visum c
731,731,ich han en ufenthaltstitel schenge  bruchi es visum fuerd schwiiz
732,732,inhaberinne und inhaber vo ufenthaltstitle vomene schengenmitgliedstaat choend ohni visum id schwiiz iireise sie choend maximal neunzig taeg innerhalb vo de letschte einhundertachtzig taeg ide schwiiz verbringe
733,733,fuer weli laender gilt mis visum c
734,734,bruch ich es visum fuer de flughafetransit
735,735,wie chan ich iisproch gaege dverweigerig vom visum erhebe
736,736,welchi vorussetzige mueend drittstaatsaghoerigi zur iireis id schwiiz erfuelle
737,737,vorussetzige fuer noed visumspflichtige drittstaatsaghoerigi
738,738,vorussetzige fuer visumspflichtige drittstaatsaghoerigi
739,739,wie lang doerfed sich drittstaatsaghoerigi i de schwiiz ufhalte
740,740,grundsaetzlich choend drittstaatsaghoerigi maximal fuer neunzig taeg innerhalb vo einhundertachtzig taeg in schengenruum iireise
741,741,fuer visumspflichtigi drittstaatsaghoerigi werded au visa mit ere chuerzere uufenthaltsduur uusgstellt d duur vom uufenthalt isch i dene faell uf em visum vermerkt
742,742,ireiseverbotlandesverwiis
743,743,ich wuensche uskunft ueber es ireiseverbot
744,744,familienachzug
745,745,schaffe i de schwiiz
746,746,ich sueche informatione zum familienachzug
747,747,persone wo sich noed imene asylverfahre befindet
748,748,persone im asylverfahre
749,749,gastgeberi oder gastgaeber i de schwiiz
750,750,visa fuer persone oder waretransport i de schwiiz
751,751,bewilligunge eueftastaate
752,752,was sind integrationskriterie
753,753,familienachzug
754,754,churzufenthaltsbewilligung
755,755,ufenthaltsbewilligung
756,756,niederlassigsbewilligung
757,757,asyl
758,758,schutz vor verfolgig
759,759,fluechtlingseigeschaft
760,760,asylverfahre
761,761,vom asylgsuech ueber d behandligsstrategie vom sem
762,762,beschleunigti asylverfahre
763,763,asylprozess
764,764,die nationale verfahre und d sonderverfahre
765,765,und de umgang mit unbegleitete minderjaehrige asylsuechende oder staatelose
766,766,was beduetet de schutzstatus s und was beinhaltet er
767,767,mit em schutzstatus s bechoemed die betroffene en uswiis s de isch uf hoechschtens es jahr befristet jedoch verlaengerbar
768,768,wie choend schutzbeduerftigi us de ukraine id schwiiz iireise
769,769,welli unterbringigsmoeglichkeite fuer gfluechteti persone us de ukraine bietet d schwiz ah
770,770,um die useforderndi ufgab zur unterbringig vo de gfluechtete mensche us de ukraine choenne bewaeltige schaffe bund kantoen gmeinde und private zaeme
771,771,doerfed persone mit schutzstatus s schaffe enere unselbststaendige erwerbstaetigkeit nachegoh
772,772,doerfed persone mit schutzstatus s en selbststaendigi arbeit ufneh
773,773,werded uslaendischi ukrainischi diplomae vo dae schwiiz anerkannt
774,774,choei persone mit schutzstatus s im homeoffice fuer en uslaendische arbeitgeber schaffe
775,775,choend persone mit schutzstatus s es praktikum absolviere
776,776,choend persone mit schutzstatus s en brueflichi grundbildig absolviere
777,777,was gilt fuer persone us de ukraine wo bereits e befristeti ufenthalts und arbeitsbewilligung i de schwiiz haend
778,778,doerfed persone mit schutzstatus s is usland reise
779,779,oeffnigsziite
780,780,oeffnigsziite schalter
781,781,migrationsamt
782,782,waenn chan ich persoenlich zu ihne cho
783,783,amt fuer oeffentliche vercher
784,784,fahrplanwaechsel
785,785,schaffed ihr morn
786,786,isch das buero morn offe
787,787,wenn isch ihri mittagspause
788,788,was sind ihri oeffnigsziite
789,789,studie nutzenpunktbewaertig
790,790,wie chan ich usefinde ob es kontrollschild bereits vergaeh isch
791,791,was sind die beschte strategie zur vorbereitig uf d theorieprueefig
792,792,welli vorteil bietet d nutzig vo de sbahn gegenueber andere verchehrsmittel
793,793,wie lang gahts bis en onlineadressaenderig verarbeitet wird
794,794,wie chan ich prueefigstermine online bueche oder uendere
795,795,wenn oeffnet s buero
796,796,wenn schliesst das buero
797,797,was sind d mittagspausezyte
798,798,a wellne wuchetaeg haend sie goeffnet
799,799,gits bsundrigi oeffnigsziite a fiirtaeg
800,800,was passiert wenn ich min termin fuer d fahrzuegprueefig verpass
801,801,wo findi de aktuell gueltig fahrplan
802,802,wie chan ich feedback zum fahrplanentwurf geh
803,803,was sind d oeffnigszite vom migrationsamt
804,804,wenn isch die besti ziit zum migrationsamt bsueche
805,805,isch en terminvereinbarig fuer de bsuech vom migrationsamt erforderlich
806,806,welli dokument werded fuer en bsuech im migrationsamt brucht
807,807,welli dienstleistige werded im migrationsamt abote
808,808,gits spezifischi taeg oder stunde fuer bestimmti arte vo visa oder verfahre
809,809,wie lang betreit die durchschnittlich warteziit bim bsuech vom migrationsamt
810,810,chani migrationsbezogeni beratige ohni vorherigi terminvereinbarig becho
811,811,weli sprache werded im migrationsamt unterstuetzt
812,812,bestaht d moeglichkeit dokument online oder per post a s migrationsamt z schicke
813,813,was sind d oeffnigszite vom stueuerzentrum
814,814,wenn isch die besti ziit zums stueuerzentrum bsueche
815,815,isch en terminvereinbarig fuer de bsuech vom stueuerzentrum erforderlich
816,816,welli dokument werded fuer en bsuech im stueuerzentrum benoetigt
817,817,welli dienstleistige werded im stueuerzentrum abote
818,818,gits spezifischi taeg oder stunde fuer bestimmti arte vo stuerberatige oder verfahre
819,819,wie lang betreit die durchschnittlichi warteziit bim bsuech vom stueuerzentrum
820,820,chan ich stuerbezogeni beratige ohni vorherigi terminvereinbarig erhalte
821,821,weli sprache werdet im stueuerzentrum unterstuetzt
822,822,bestaht d moeglichkeit stuerdokument online oder per post iireiche
